,Batsman,Mode of Dismissal,Runs Scored,Balls Faced,Fours,Sixes,Strike Rate,Innings,Location,Date,Batting Position,Format,Year,Match,Series,Dismissal Type
0,Ed Cowan,c M Dhoni b R Ashwin,68,177,7,0,38.42,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
1,David Warner,c M Dhoni b U Yadav,37,49,4,1,75.51,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
3,Ricky Ponting,c V Laxman b U Yadav,62,94,6,0,65.96,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
4,Michael Clarke,b Z Khan,31,68,5,0,45.59,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
6,Brad Haddin,c V Sehwag b Z Khan,27,69,1,0,39.13,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
7,Peter Siddle,c M Dhoni b Z Khan,41,100,4,0,41.0,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
8,James Pattinson,not out,18,54,2,0,33.33,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,other
9,Ben Hilfenhaus,c V Kohli b R Ashwin,19,32,3,0,59.38,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
10,Nathan Lyon,b R Ashwin,6,11,1,0,54.55,1,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
11,Gautam Gambhir,c B Haddin b B Hilfenhaus,3,23,0,0,13.04,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
12,Virender Sehwag,b James Pattinson,67,83,7,0,80.72,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
13,Rahul Dravid,b B Hilfenhaus,68,187,6,0,36.36,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
14,Sachin Tendulkar,b P Siddle,73,98,8,1,74.49,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
15,Ishant Sharma,c B Haddin b B Hilfenhaus,11,69,0,0,15.94,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
16,VVS Laxman,c B Haddin b P Siddle,2,22,0,0,9.09,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
17,Virat Kohli,c B Haddin b B Hilfenhaus,11,21,1,0,52.38,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
18,MS Dhoni,c M Hussey b B Hilfenhaus,6,8,0,0,75.0,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
19,Ravichandran Ashwin,c B Haddin b P Siddle,31,35,3,1,88.57,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
20,Zaheer Khan,b James Pattinson,4,6,1,0,66.67,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
21,Umesh Yadav,not out,2,16,0,0,12.5,2,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,other
22,David Warner,b U Yadav,5,27,0,0,18.52,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
23,Ed Cowan,lbw b U Yadav,8,17,1,0,47.06,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
24,Shaun Marsh,b U Yadav,3,11,0,0,27.27,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
25,Ricky Ponting,c V Sehwag b Z Khan,60,97,3,0,61.86,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
26,Michael Clarke,b I Sharma,1,4,0,0,25.0,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
27,Michael Hussey,c M Dhoni b Z Khan,89,151,9,0,58.94,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
28,Brad Haddin,c V Laxman b Z Khan,6,14,0,0,42.86,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
29,Peter Siddle,c M Dhoni b U Yadav,4,22,0,0,18.18,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
31,James Pattinson,not out,37,81,4,0,45.68,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,other
32,Ben Hilfenhaus,c V Laxman b I Sharma,14,29,2,0,48.28,3,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
33,Gautam Gambhir,c R Ponting b P Siddle,13,46,1,0,28.26,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
34,Virender Sehwag,c M Hussey b B Hilfenhaus,7,12,1,0,58.33,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
35,Rahul Dravid,b James Pattinson,10,29,1,0,34.48,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
36,Sachin Tendulkar,c M Hussey b P Siddle,32,46,4,0,69.57,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
37,VVS Laxman,c E Cowan b James Pattinson,1,14,0,0,7.14,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
39,MS Dhoni,b James Pattinson,23,44,0,1,52.27,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
40,Ravichandran Ashwin,c E Cowan b P Siddle,30,35,5,0,85.71,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
41,Zaheer Khan,c E Cowan b James Pattinson,13,22,1,1,59.09,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",9,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
42,Ishant Sharma,not out,6,14,0,0,42.86,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",10,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,other
43,Umesh Yadav,c D Warner b N Lyon,21,25,2,1,84.0,4,"Melbourne Cricket Ground, Melbourne","Dec 26-Dec 30, 10:30 AM LOCAL",11,Test,2011-12,"Australia vs India, 1st Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
45,Virender Sehwag,c B Haddin b James Pattinson,30,51,4,0,58.82,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",2,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
46,Rahul Dravid,c E Cowan b P Siddle,5,33,1,0,15.15,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",3,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
47,Sachin Tendulkar,b James Pattinson,41,89,8,0,46.07,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",4,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,bowled
48,VVS Laxman,c S Marsh b James Pattinson,2,9,0,0,22.22,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",5,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
49,Virat Kohli,c B Haddin b P Siddle,23,41,3,0,56.1,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",6,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
50,MS Dhoni,not out,57,77,8,0,74.03,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",7,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,other
51,Ravichandran Ashwin,c M Clarke b B Hilfenhaus,20,39,1,0,51.28,1,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",8,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
55,David Warner,c S Tendulkar b Z Khan,8,6,1,0,133.33,2,"Sydney Cricket Ground, Sydney","Jan 03-Jan 07, 10:30 AM LOCAL",1,Test,2011-12,"Australia vs India, 2nd Test - Live Cricket Score, Commentary",India in Australia Test series,caught and bowled
